Date,AMC,AMD,BABA,BB,BBBY,GME,MVIS,NVDA,SPY,TSLA
2017-08-01,16.46941566467285,13.710000038146973,154.72999572753906,9.510000228881836,26.660823822021484,17.939491271972656,2.25,162.81216430664062,230.73878479003906,63.91400146484375
2017-08-02,12.035346031188965,13.369999885559082,151.91000366210938,9.5,26.421676635742188,17.956287384033203,2.309999942779541,162.71319580078125,230.85076904296875,65.1780014038086
2017-08-03,11.956165313720703,13.239999771118164,153.32000732421875,9.420000076293945,27.050552368164062,18.191450119018555,2.450000047683716,164.7818603515625,230.4029541015625,69.41799926757812
2017-08-04,12.866734504699707,13.119999885559082,153.3300018310547,9.4399995803833,26.660823822021484,18.418216705322266,2.4700000286102295,165.5044403076172,230.82275390625,71.38200378417969
2017-08-07,12.747963905334473,13.430000305175781,158.83999633789062,9.100000381469727,27.13912582397461,18.619781494140625,2.5199999809265137,170.59197998046875,231.2519073486328,71.03399658203125
2017-08-08,12.787553787231445,13.109999656677246,157.5,9.029999732971191,26.908832550048828,18.42661476135254,2.4600000381469727,168.56289672851562,230.68280029296875,73.04399871826172
2017-08-09,12.272886276245117,12.829999923706055,157.49000549316406,8.949999809265137,26.37738800048828,18.544193267822266,2.140000104904175,170.3544464111328,230.67344665527344,72.70600128173828
2017-08-10,11.441494941711426,12.119999885559082,151.77000427246094,8.729999542236328,25.155065536499023,18.031875610351562,2.109999895095825,163.05963134765625,227.41744995117188,71.08000183105469
2017-08-11,11.124775886535645,12.229999542236328,151.6999969482422,8.779999732971191,25.491647720336914,18.27543830871582,2.180000066757202,154.36917114257812,227.75331115722656,71.5739974975586
2017-08-14,10.76846694946289,12.760000228881836,154.61000061035156,8.949999809265137,25.76622772216797,18.351024627685547,2.1600000858306885,166.68228149414062,230.01101684570312,72.76000213623047
2017-08-15,10.491336822509766,13.020000457763672,157.75,8.819999694824219,24.419898986816406,17.57834815979004,2.140000104904175,165.27674865722656,229.9830780029297,72.46600341796875
2017-08-16,10.530926704406738,12.630000114440918,159.5,8.829999923706055,24.588191986083984,17.964685440063477,2.130000114440918,163.46542358398438,230.3842315673828,72.58200073242188
2017-08-17,10.412158012390137,12.34000015258789,163.9199981689453,8.720000267028809,24.340181350708008,17.721126556396484,2.1500000953674316,159.82296752929688,226.7923583984375,70.38400268554688
2017-08-18,10.293387413024902,12.369999885559082,167.5,8.680000305175781,24.1541748046875,17.821910858154297,2.119999885559082,159.85267639160156,226.4378662109375,69.49199676513672
2017-08-21,10.332977294921875,12.050000190734863,169.25,8.579999923706055,24.101030349731445,17.620342254638672,2.0299999713897705,157.526611328125,226.6151123046875,67.5719985961914
2017-08-22,10.174616813659668,12.170000076293945,174.4600067138672,8.789999961853027,24.242753982543945,18.174654006958008,2.0799999237060547,161.03359985351562,228.9848175048828,68.2699966430664
2017-08-23,9.937077522277832,12.479999542236328,175.8000030517578,8.829999923706055,24.384469985961914,18.0402774810791,2.0899999141693115,164.2532958984375,228.163818359375,70.55400085449219
2017-08-24,10.135026931762695,12.5,175.0,8.949999809265137,24.340181350708008,18.292234420776367,2.119999885559082,163.64898681640625,227.63204956054688,70.58599853515625
2017-08-25,10.214207649230957,12.430000305175781,171.74000549316406,8.989999771118164,24.747623443603516,16.293359756469727,2.1500000953674316,162.28187561035156,228.163818359375,69.61000061035156
2017-08-28,10.332977294921875,12.229999542236328,168.3000030517578,8.989999771118164,24.800764083862305,16.083393096923828,2.190000057220459,163.43101501464844,228.1731719970703,69.13200378417969
2017-08-29,10.174616813659668,12.149999618530273,167.41000366210938,9.029999732971191,24.747623443603516,15.74744987487793,2.25,163.16355895996094,228.4343719482422,69.47200012207031
2017-08-30,10.649696350097656,12.670000076293945,171.25,9.069999694824219,24.685623168945312,15.781042098999023,2.4100000858306885,164.13438415527344,229.5166015625,70.63600158691406
2017-08-31,10.610106468200684,13.0,171.74000549316406,9.270000457763672,24.4376163482666,15.537482261657715,2.369999885559082,167.85934448242188,230.89739990234375,71.18000030517578
2017-09-01,11.20395565032959,13.1899995803833,171.0399932861328,9.180000305175781,24.659046173095703,15.680257797241211,2.299999952316284,168.86981201171875,231.2239532470703,71.08000183105469
2017-09-05,11.481085777282715,12.920000076293945,169.9199981689453,9.010000228881836,24.809627532958984,15.907020568847656,2.299999952316284,164.36227416992188,229.5632781982422,69.91799926757812
2017-09-06,11.40190601348877,12.859999656677246,168.13999938964844,9.0600004196167,24.703336715698242,16.242965698242188,2.4200000762939453,164.26318359375,230.346923828125,68.90599822998047
2017-09-07,10.926828384399414,12.630000114440918,170.47999572753906,9.109999656677246,24.490755081176758,16.14872932434082,2.809999942779541,165.02601623535156,230.31893920898438,70.12200164794922
2017-09-08,10.725966453552246,12.25,169.0,9.010000228881836,25.066490173339844,16.405738830566406,3.069999933242798,162.1629638671875,230.04835510253906,68.68000030517578
2017-09-11,11.328548431396484,12.550000190734863,174.05999755859375,9.15999984741211,24.499614715576172,16.44857406616211,2.950000047683716,167.42343139648438,232.50205993652344,72.73799896240234
2017-09-12,11.408891677856445,12.300000190734863,175.30999755859375,9.279999732971191,25.69536590576172,16.731285095214844,2.950000047683716,168.02774047851562,233.28578186035156,72.55000305175781
2017-09-13,12.212334632873535,12.220000267028809,178.97000122070312,9.180000305175781,26.12938117980957,17.151065826416016,3.1700000762939453,168.78065490722656,233.39768981933594,73.24600219726562
2017-09-14,12.895261764526367,12.260000228881836,177.10000610351562,9.270000457763672,25.69314956665039,17.202465057373047,2.9000000953674316,167.81968688964844,233.32308959960938,75.52799987792969
