Date,AMC,AMD,BABA,BB,BBBY,BCH,BTC-USD,DOGE-USD,ETC,ETH,GME,LTC,MVIS,NVDA,SPY,TSLA,XRP
2017-08-01,16.46941566467285,13.710000038146973,154.72999572753906,9.510000228881836,26.660823822021484,26.135265350341797,2718.260009765625,0.0017920000245794654,34.5,25.343952178955078,17.939491271972656,41.434288024902344,2.25,162.81216430664062,230.73878479003906,63.91400146484375,
2017-08-02,12.035346031188965,13.369999885559082,151.91000366210938,9.5,26.421676635742188,26.199077606201172,2710.669921875,0.001787999994121492,34.5,24.8731689453125,17.956287384033203,40.776981353759766,2.309999942779541,162.71319580078125,230.85076904296875,65.1780014038086,
2017-08-03,11.956165313720703,13.239999771118164,153.32000732421875,9.420000076293945,27.050552368164062,26.217309951782227,2804.72998046875,0.0017950000474229455,34.5,24.559310913085938,18.191450119018555,41.434288024902344,2.450000047683716,164.7818603515625,230.4029541015625,69.41799926757812,
2017-08-04,12.866734504699707,13.119999885559082,153.3300018310547,9.4399995803833,26.660823822021484,26.37228012084961,2895.889892578125,0.001820000004954636,34.5,25.14779281616211,18.418216705322266,41.223304748535156,2.4700000286102295,165.5044403076172,230.82275390625,71.38200378417969,
2017-08-05,,,,,,,3252.909912109375,0.002087000058963895,,,,,,,,,
2017-08-06,,,,,,,3213.93994140625,0.001908999984152615,,,,,,,,,
2017-08-07,12.747963905334473,13.430000305175781,158.83999633789062,9.100000381469727,27.13912582397461,26.08968734741211,3378.93994140625,0.0019490000559017062,34.5,25.343952178955078,18.619781494140625,40.9798583984375,2.5199999809265137,170.59197998046875,231.2519073486328,71.03399658203125,
2017-08-08,12.787553787231445,13.109999656677246,157.5,9.029999732971191,26.908832550048828,26.28415870666504,3419.93994140625,0.001961000030860305,34.5,25.108562469482422,18.42661476135254,40.833805084228516,2.4600000381469727,168.56289672851562,230.68280029296875,73.04399871826172,
2017-08-09,12.272886276245117,12.829999923706055,157.49000549316406,8.949999809265137,26.37738800048828,26.268966674804688,3342.469970703125,0.0019369999645277858,34.5,25.187021255493164,18.544193267822266,40.75263977050781,2.140000104904175,170.3544464111328,230.67344665527344,72.70600128173828,
2017-08-10,11.441494941711426,12.119999885559082,151.77000427246094,8.729999542236328,25.155065536499023,25.898252487182617,3381.280029296875,0.001896000001579523,34.5,24.677013397216797,18.031875610351562,39.19459915161133,2.109999895095825,163.05963134765625,227.41744995117188,71.08000183105469,
2017-08-11,11.124775886535645,12.229999542236328,151.6999969482422,8.779999732971191,25.491647720336914,26.162612915039062,3650.6201171875,0.001879999996162951,34.5,24.716243743896484,18.27543830871582,37.725807189941406,2.180000066757202,154.36917114257812,227.75331115722656,71.5739974975586,
2017-08-12,,,,,,,3884.7099609375,0.0018560000462457538,,,,,,,,,
2017-08-13,,,,,,,4073.260009765625,0.0018070000223815441,,,,,,,,,
2017-08-14,10.76846694946289,12.760000228881836,154.61000061035156,8.949999809265137,25.76622772216797,26.3935489654541,4325.1298828125,0.001762000028975308,34.5,25.0693302154541,18.351024627685547,38.66714096069336,2.1600000858306885,166.68228149414062,230.01101684570312,72.76000213623047,
2017-08-15,10.491336822509766,13.020000457763672,157.75,8.819999694824219,24.419898986816406,26.490785598754883,4181.93017578125,0.0017379999626427889,34.5,24.206226348876953,17.57834815979004,38.407447814941406,2.140000104904175,165.27674865722656,229.9830780029297,72.46600341796875,
2017-08-16,10.530926704406738,12.630000114440918,159.5,8.829999923706055,24.588191986083984,26.47255516052246,4376.6298828125,0.0017740000039339066,34.5,24.12775993347168,17.964685440063477,39.12155532836914,2.130000114440918,163.46542358398438,230.3842315673828,72.58200073242188,
2017-08-17,10.412158012390137,12.34000015258789,163.9199981689453,8.720000267028809,24.340181350708008,26.314544677734375,4331.68994140625,0.0017099999822676182,34.5,23.578510284423828,17.721126556396484,38.83754348754883,2.1500000953674316,159.82296752929688,226.7923583984375,70.38400268554688,
2017-08-18,10.293387413024902,12.369999885559082,167.5,8.680000305175781,24.1541748046875,26.551559448242188,4160.6201171875,0.001677999971434474,34.5,23.107725143432617,17.821910858154297,38.228946685791016,2.119999885559082,159.85267639160156,226.4378662109375,69.49199676513672,
2017-08-19,,,,,,,4193.7001953125,0.001677999971434474,,,,,,,,,
2017-08-20,,,,,,,4087.659912109375,0.001706999959424138,,,,,,,,,
2017-08-21,10.332977294921875,12.050000190734863,169.25,8.579999923706055,24.101030349731445,26.667024612426758,4001.739990234375,0.001711999997496605,34.5,23.107725143432617,17.620342254638672,39.288116455078125,2.0299999713897705,157.526611328125,226.6151123046875,67.5719985961914,
2017-08-22,10.174616813659668,12.170000076293945,174.4600067138672,8.789999961853027,24.242753982543945,26.588022232055664,4100.52001953125,0.0017160000279545784,34.5,23.186185836791992,18.174654006958008,38.921485900878906,2.0799999237060547,161.03359985351562,228.9848175048828,68.2699966430664,
2017-08-23,9.937077522277832,12.479999542236328,175.8000030517578,8.829999923706055,24.384469985961914,26.852384567260742,4151.52001953125,0.0017320000333711505,34.5,22.12692642211914,18.0402774810791,39.16590881347656,2.0899999141693115,164.2532958984375,228.163818359375,70.55400085449219,
2017-08-24,10.135026931762695,12.5,175.0,8.949999809265137,24.340181350708008,27.004314422607422,4334.68017578125,0.0018159999744966626,34.5,21.57767105102539,18.292234420776367,39.23925018310547,2.119999885559082,163.64898681640625,227.63204956054688,70.58599853515625,
